sub_account,where,item,old_url,new_url,status
Hackney,Trigger link,Signup,https://go.blueprintfitnessldn.com/signup,https://blueprintfitnessldn.com/signup-hackney/,confident
Hackney,Trigger link,Signup Offer,https://go.blueprintfitnessldn.com/signup-offer,https://blueprintfitnessldn.com/hackney/kickstart/,confident
Leytonstone,Email template,BASIC TEMPLATE,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,1 - FIRST CALL - NON RESPONDER,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,2 - SECOND CALL - NON RESPONDER,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,4 - YES / NO,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,99 DEC OFFER - Trial Sign-up,https://go.blueprintfitnessleytonstone.com/signup-offer,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,CHASE UP - 99 DEC OFFER - Trial Sign-up,https://go.blueprintfitnessleytonstone.com/signup-offer,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,LEY - Trial Sign-up 149,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,Nutrition Consultation Request Response,https://www.blueprintfitnessldn.com/nutrition-coaching,https://blueprintfitnessldn.com/members/nutrition-request/,confident (link is DEAD - 404)
Leytonstone,Snippet,Re-Connect - Enquiry ,https://go.blueprintfitnessleytonstone.com/founders,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Snippet,Reconnect - chase lead,https://go.blueprintfitnessldn.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Trigger link,Challenge,https://go.blueprintfitnessleytonstone.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Trigger link,Custom Button: Web URL: aHR0cHM6Ly9nby5ibHVlcHJpbnRmaXRuZXNzbGRuLmNvbQ==,https://go.blueprintfitnessleytonstone.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Trigger link,Signup,https://go.blueprintfitnessleytonstone.com/signup,https://blueprintfitnessldn.com/signup-leytonstone/,confident
Leytonstone,Trigger link,Signup Offer,https://go.blueprintfitnessleytonstone.com/signup,https://blueprintfitnessldn.com/signup-leytonstone/,confident
Leytonstone,Workflow: FB Comments,"fb_interactive_messenger step ""Facebook Interactive Messenger""",https://go.blueprintfitnessldn.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Workflow: FB Comments All Posts,"messenger step ""MESSENGER""",https://go.blueprintfitnessleytonstone.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
Leytonstone,Workflow: FB Comments All Posts,"respond_on_comment step ""Respond On Comment""",https://go.blueprintfitnessleytonstone.com,https://blueprintfitnessldn.com/leytonstone/kickstart/,confident
South Woodford,Snippet,000 - SIGN UP LINK,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,1 - FIRST CALL - NON RESPONDER,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,2 - SECOND CALL - NON RESPONDER,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,3 - THIRD CALL - FINAL TRY,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,4 - YES / NO,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,ABI - Check In,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,DEC OFFE £99 - SIGN UP LINK,https://go.blueprintfitnessldn.com/signup-offer,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,More info and sign up link,https://go.blueprintfitnessldn.com/,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Snippet,Nutrition Consultation Request Response,https://www.blueprintfitnessldn.com/nutrition-coaching,https://blueprintfitnessldn.com/members/nutrition-request/,confident (link is DEAD - 404)
South Woodford,Snippet,STRAIGHT TO PAYMENT,http://Go.blueprintfitnessldn.com/signup,https://blueprintfitnessldn.com/signup-southwoodford/,confident
South Woodford,Trigger link,Challenge,https://go.blueprintfitnessldn.com,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Trigger link,Signup,https://go.blueprintfitnessldn.com/signup,https://blueprintfitnessldn.com/signup-southwoodford/,confident
South Woodford,Trigger link,Signup Offer,https://go.blueprintfitnessldn.com/signup-offer,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
South Woodford,Workflow: FB Comments,"fb_interactive_messenger step ""Facebook Interactive Messenger""",https://go.blueprintfitnessldn.com,https://blueprintfitnessldn.com/south-woodford/kickstart/,confident
